,Aerage,,,,,,
-34.4,1619.36,,,,,,
-34.38,1658.48,,,,,,
-34.36,1597.6,,,,,,
-34.34,1549.16,,,,,,
-34.32,1582.96,,,,,,
-34.3,1697.52,,,,,,
-34.28,1637.12,,,,,,
-34.26,1620.8,,,,,,
-34.24,1717.48,,,,,,
-34.22,1824.56,,,,,,
-34.2,1703.4,,,,,,
-34.18,1711.8,,,,,,
-34.16,1785.24,,,,,,
-34.14,1835.52,,,,,,
-34.12,1722.76,,,,,,
-34.1,1763.4,,,,,,
-34.08,1701.88,,,,,,
-34.06,1813.4,,,,,,
-34.04,1695.8,,,,,,
-34.02,1737.64,,,,,,
-34,1775.6,,,,,,
-33.98,1762.32,,,,,,
-33.96,1720.8,,,,,,
-33.94,1707.48,,,,,,
-33.92,1687.32,,,,,,
-33.9,1727.76,,,,,,
-33.88,1626.8,,,,,,
-33.86,1723.28,,,,,,
-33.84,1713.76,,,,,,
-33.82,1765.4,,,,,,
-33.8,1710.68,,,,,,
-33.78,1726.76,,,,,,
-33.76,1679.64,,,,,,
-33.74,1791.96,,,,,,
-33.72,1753.64,,,,,,
-33.7,1745.36,,,,,,
-33.68,1726.12,,,,,,
-33.66,1837.76,,,,,,
-33.64,1796.16,,,,,,
-33.62,1717.72,,,,,,
-33.6,1660.96,,,,,,
-33.58,1812.68,,,,,,
-33.56,1671.52,,,,,,
-33.54,1692.8,,,,,,
-33.52,1680,,,,,,
-33.5,1725.08,,,,,,
-33.48,1730.12,,,,,,
-33.46,1768.64,,,,,,
-33.44,1765.08,,,,,,
-33.42,1797.2,,,,,,
-33.4,1648.04,,,,,,
-33.38,1666.48,,,,,,
-33.36,1686.4,,,,,,
-33.34,1753.76,,,,,,
-33.32,1708.28,,,,,,
-33.3,1721.44,,,,,,
-33.28,1677.6,,,,,,
-33.26,1747.6,,,,,,
-33.24,1638.24,,,,,,
-33.22,1720.44,,,,,,
-33.2,1769.64,,,,,,
-33.18,1842.2,,,,,,
-33.16,1752.6,,,,,,
-33.14,1663.68,,,,,,
